date,abstract,keywords,doc_type,material_type,news_desk
2020-02-01,American embassies appeared to sympathize with an Iranian woman who feared returning to Iran after an image of her looking like she was not wearing a hijab circulated online.,"['Chess', 'Muslim Veiling', 'United States Politics and Government', 'Muslims and Islam', 'Women and Girls']",article,News,Express
2020-02-01,"His acquittal in the Senate assured, the emboldened president will take his victory and grievance to the campaign trail, no longer worried about congressional constraint.","['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020', 'United States Politics and Government']",article,News,Washington
2020-02-01,And I had a serious conversation about post-Brexit trade negotiations with a man dressed as King Richard the Lionheart.,['Great Britain Withdrawal from EU (Brexit)'],article,News,OpEd
2020-02-01,Newly released emails show officials at NOAA told the agency’s scientists it did “not approve or support” a controversial agency statement issued after the president falsely said that Alabama was at risk from Hurricane Dorian.,"['Hurricane Dorian (2019)', 'Hurricanes and Tropical Storms', 'United States Politics and Government']",article,News,Climate
2020-02-01,"The diabolical duo of Donald and Mitch, serving their own interests, not the national one.","['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Presidential Election of 2020']",article,Op-Ed,OpEd
2020-02-01,"To eject the president, you need to beat him.","['Presidential Election of 2020', 'Impeachment', 'United States Politics and Government']",article,Op-Ed,Editorial
2020-02-01,This from a company that says employees should “do the right thing.”,"['Corporate Social Responsibility', 'Banking and Financial Institutions', 'Labor and Jobs']",article,Op-Ed,OpEd
2020-02-01,Countering private campaign funding with public campaign funding is the most viable way to limit the political influence of the wealthy.,"['Campaign Finance', 'Elections', 'Citizens United v Federal Election Commission (Supreme Court Decision)', 'Corruption (Institutional)', 'Presidential Election of 2020', 'United States Politics and Government', 'High Net Worth Individuals']",article,Editorial,Editorial
2020-02-01,"Win or lose in Iowa, Buttigieg has challenged and changed America.","['Presidential Election of 2020', 'Homosexuality and Bisexuality', 'Primaries and Caucuses', 'Debates (Political)', 'Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'Polls and Public Opinion', 'Religion and Belief', 'Voting and Voters', 'Black People', 'Blacks']",article,Op-Ed,OpEd
2020-02-01,DeAndre Arnold was told his dreadlocks violated his Texas high school’s dress code. Now he has been invited to the Oscars by the celebrity couple Gabrielle Union and Dwyane Wade.,"['Hair', 'Black People', 'Blacks', 'Discrimination', 'Academy Awards (Oscars)', 'Movies', 'Education (K-12)']",article,News,Express
2020-02-01,The former N.B.A. guard Jason Terry last saw Kobe coaching Gianna’s Mamba Academy team a week ago. Terry and his girls’ team were supposed to face them the day of the helicopter crash.,"['Basketball', 'Aviation Accidents, Safety and Disasters', 'Women and Girls']",article,News,Sports
2020-02-01,"Inside the very weird homestretch in Iowa, where candidates were thin on the ground, but reporters were not.","['Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government', 'Impeachment']",article,News Analysis,Politics
2020-02-01,"Descended from two eminent musical families, he became a maverick, questioned the establishment and fostered a career on his own terms.","['Deaths (Obituaries)', 'Classical Music']",article,Obituary (Obit),Obits
2020-02-01,"Anti-government demonstrations have been raging since October, demanding an end to political corruption.","['Politics and Government', 'Corruption (Institutional)', 'Demonstrations, Protests and Riots', 'United States Defense and Military Forces']",article,News,Foreign
2020-02-01,"The number of deaths from the virus outbreak rose to 304 and the number of cases soared to more than 14,000 as Australia and Japan joined the United States in imposing travel restrictions.","['Coronavirus (2019-nCoV)', 'Travel Warnings', 'Deaths (Fatalities)', 'International Relations']",article,News,Foreign
2020-02-01,"A sample was being sent to the federal authorities for confirmation, the city Health Department said.","['Coronavirus (2019-nCoV)', 'Viruses', 'Medicine and Health']",article,News,Metro
2020-02-01,"“You could tell by listening to Gang of Four music that punk had happened,” he once said. “But it definitely wasn’t punk music.”","['Deaths (Obituaries)', 'Pop and Rock Music']",article,Obituary (Obit),Obits
2020-02-01,Brian Herrick and Christopher Adams take us on a flight of fancy.,['Crossword Puzzles'],article,News,Games
2020-02-01,"We visited the presidential museums, libraries and sites dedicated to Andrew Johnson, Richard Nixon and Bill Clinton to talk to visitors about the impeachment facing President Trump.","['Presidents and Presidency (US)', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Historic Buildings and Sites', 'Libraries and Librarians']",article,News,National
2020-02-02,"Juan Guaidó, who last year declared himself Venezuela’s interim president, tried to rekindle the energy of his country’s diaspora.",['VENEZUELAN-AMERICANS'],article,News,National
2020-02-02,The specter of the divisive Democratic battles of 2016 cast a shadow over the final days of the 2020 contest for Iowa as several candidates questioned the ability of Bernie Sanders to unite the party.,"['Presidential Election of 2020', 'Primaries and Caucuses']",article,News,Politics
2020-02-02,"The groups supporting the president’s re-election bid also made 150 payments to Trump-owned entities and properties, Federal Election Commission filings show.","['Presidential Election of 2020', 'Campaign Finance', 'Political Advertising']",article,News,Washington
2020-02-02,The release of the highly anticipated survey was canceled after Pete Buttigieg’s campaign raised concerns that he was not included in at least one phone call.,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Polls and Public Opinion']",article,News,Politics
2020-02-02,"The longtime documentary programmer takes over for John Cooper, who had already announced he was stepping down after 11 years in the job.","['Sundance Film Festival (Park City, Utah)', 'Appointments and Executive Changes', 'Movies']",article,News,Culture
2020-02-02,"In Zora Howard’s new drama, the kitchen is where the characters reveal their bickering-but-loving true selves.",['Theater'],article,Review,Culture
2020-02-02,These maps and charts show just how much Mr. Sanders is prevailing in the race for donors.,['Presidential Election of 2020'],multimedia,Interactive Feature,U.S.
2020-02-02,"Quotation of the Day for Sunday, February 2, 2020.",[],article,Quote,Summary
2020-02-02,"Corrections that appeared in print on Sunday, Feb. 2, 2020.",[],article,News,Corrections
2020-02-02,"He proposed to him under Juliet’s balcony in Verona, Italy.",['Weddings and Engagements'],article,News,Society
2020-02-02,"The couple met in Hartford, Conn., at Trinity College, from which they graduated.",['Weddings and Engagements'],article,News,Society
2020-02-02,She’s a preschool teacher and he’s a managing partner in an executive search firm.,['Weddings and Engagements'],article,News,Society
2020-02-02,The couple met in 2016 at a SoulCycle studio in New York.,['Weddings and Engagements'],article,News,Society
2020-02-02,"As the overall death toll passed 360, a quarantine is being expanded in Wuhan, the central Chinese city where the coronavirus began.",['Coronavirus (2019-nCoV)'],article,News,Foreign
2020-02-02,The couple met on JDate and were married in Brooklyn.,['Weddings and Engagements'],article,News,Society
2020-02-02,The couple met in 2016 in Minneapolis after connecting on Tinder.,['Weddings and Engagements'],article,News,Society
2020-02-02,"On Fox, a bizarre competition series returns, and Jennifer Lopez and Shakira perform in the halftime show.","['Movies', 'Television']",article,News,Culture
2020-02-02,Patrick Mahomes of the Kansas City Chiefs is part of a vanguard redefining the position. But it is a watershed only if it is widespread and persistent.,"['Football', 'Black People', 'Blacks', 'Race and Ethnicity', 'Super Bowl']",article,News,Sports
2020-02-02,"Splitting up, finding a car key and more reader tales of New York City in this week’s Metropolitan Diary.",[],article,News,Metropolitan
2020-02-02,"Prince Harry and his wife, Meghan, have retreated from royal life to Victoria, which has long embraced its queenly name. But the city, like the duke and duchess, is breaking with tradition.","['Royal Families', 'Names, Geographical']",article,News,Foreign
2020-02-02,"On Super Bowl weekend, Alec Baldwin returned to play President Trump in an episode that also featured several football-themed sketches.",['Television'],article,News,Culture
2020-02-02,Top officials in Southeast Asia have played down the threat of the virus and shied away from travel bans. Some have even pushed supposed remedies not supported by science.,"['Coronavirus (2019-nCoV)', 'Travel and Vacations', 'Epidemics', 'Viruses', 'AIRLINES AND AIRPLANES', 'Immigration and Emigration']",article,News,Foreign
2020-02-02,"Before his killing, Maj. Gen. Qassim Suleimani of Iran was everywhere. His persona is a clue into how the elite Quds Force he commanded operates.","['Defense and Military Forces', 'your-feed-visual-investigations']",multimedia,Video,
2020-02-02,Electric Hummers and Cybertrucks are just the beginning when it comes to sustainable trucks and S.U.V.s.,"['Electric and Hybrid Vehicles', 'Sports Utility Vehicles and Light Trucks', 'Sustainable Living', 'Oil (Petroleum) and Gasoline', 'Energy Efficiency', 'Football', 'Super Bowl']",article,News,Styles
2020-02-02,"With high N.F.L. viewership amid decreasing participation in youth football, The Times examined the unexpected in its On Defense series.","['Football', 'Chronic Traumatic Encephalopathy']",article,News,Insider
2020-02-02,Recent residential sales in New York City and the region.,['Real Estate and Housing (Residential)'],article,News,RealEstate
2020-02-02,"We will go by state delegate equivalents, as we have in the past.","['Primaries and Caucuses', 'Presidential Election of 2020', 'Democratic National Convention']",article,News,Upshot
2020-02-02,"Streaming services like Amazon Prime and Spotify offer videos, playlists and narrated books to entertain dogs and cats. But who loves it more: The pets? Or their owners?","['Dogs', 'Cats', 'Television', 'Video Recordings, Downloads and Streaming', 'Animal Cognition', 'Pets', 'Audiobooks', 'Music']",article,News,Express
